scenario,strategy,month,eligible_currencies,gross_price_return,modeled_transaction_cost_return,before_financing_return
ADVERSE,B0_CASH,2011-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2011-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2012-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2013-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2014-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2015-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2016-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2017-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2018-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2019-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2020-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2021-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2022-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2023-12-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-01-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-02-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-03-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-04-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-05-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-06-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-07-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-08-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-09-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-10-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-11-01,9,0.0,0.0,0.0
ADVERSE,B0_CASH,2024-12-01,9,0.0,0.0,0.0
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-02-01,9,0.009101125751012728,0.000129315189829125,0.008971810561183603
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-03-01,9,0.009281698615346175,1.047268040198981e-05,0.009271225934944184
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-04-01,9,0.044315396653242134,0.0,0.044315396653242134
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-05-01,9,-0.012885681151532546,0.0,-0.012885681151532546
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-06-01,9,0.0003878949696818099,0.0,0.0003878949696818099
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-07-01,9,0.024923182463362434,0.0,0.024923182463362434
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-08-01,9,-0.009408315733925013,0.0,-0.009408315733925013
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-09-01,9,-0.07091245269449631,0.0,-0.07091245269449631
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-10-01,9,0.028773473128510394,2.2812993481305938e-05,0.02875066013502909
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-11-01,9,-0.030833519569580185,2.20806404363415e-05,-0.03085560021001653
ADVERSE,B1_EXPANDING_MEAN_SIGN,2011-12-01,9,-0.0019721064791005474,2.2764989975823436e-05,-0.001994871469076371
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-01-01,9,0.014742963588519873,0.0,0.014742963588519873
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-02-01,9,0.007740179826315351,0.0,0.007740179826315351
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-03-01,9,-0.012424066497278254,1.1842489319119558e-05,-0.012435908986597376
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-04-01,9,0.0046414994755744005,0.0,0.0046414994755744005
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-05-01,9,-0.03961079153238688,0.0,-0.03961079153238688
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-06-01,9,0.013098206537151373,7.820356716570066e-05,0.013020002969985673
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-07-01,9,0.009462287020518446,6.738954126512555e-05,0.00939489747925332
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-08-01,9,0.004519243860907272,0.0,0.004519243860907272
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-09-01,9,0.00894340593023266,1.1906725513906531e-05,0.008931499204718753
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-10-01,9,-0.00623463440565935,0.0,-0.00623463440565935
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-11-01,9,-0.003061501779855819,0.0,-0.003061501779855819
ADVERSE,B1_EXPANDING_MEAN_SIGN,2012-12-01,9,0.0009949217301670323,0.0,0.0009949217301670323
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-01-01,9,-0.0045617389507277934,0.0,-0.0045617389507277934
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-02-01,9,-0.02624157930477411,1.0633894639371914e-05,-0.026252213199413482
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-03-01,9,0.0028268631682401755,4.0881496990035304e-05,0.00278598167125014
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-04-01,9,0.006315123406747719,0.0,0.006315123406747719
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-05-01,9,-0.019194465221476817,0.0,-0.019194465221476817
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-06-01,9,-0.01654397916076443,0.0,-0.01654397916076443
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-07-01,9,0.009227526847789515,0.0,0.009227526847789515
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-08-01,9,-0.013850789639028367,0.0,-0.013850789639028367
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-09-01,9,0.013501130847397494,6.580928380779529e-05,0.0134353215635897
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-10-01,9,-0.0018974129884899746,7.85557136900915e-05,-0.0019759687021800665
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-11-01,9,-0.004629477453721048,1.0626814477481576e-05,-0.004640104268198528
ADVERSE,B1_EXPANDING_MEAN_SIGN,2013-12-01,9,0.006895128386721831,6.588534505362965e-05,0.0068292430416682015
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-01-01,9,-0.02276748532141526,6.636470324486432e-05,-0.022833850024660124
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-02-01,9,0.0054970309899744,9.287295451027461e-05,0.005404158035464126
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-03-01,9,0.006606899786602647,7.7543722158695e-05,0.006529356064443952
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-04-01,9,6.613611494222916e-05,0.0,6.613611494222916e-05
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-05-01,9,-0.010441454117153717,0.0,-0.010441454117153717
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-06-01,9,0.0030727736101186943,0.0,0.0030727736101186943
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-07-01,9,-0.012607762260648685,8.394925849955944e-05,-0.012691711519148245
ADVERSE,B1_EXPANDING_MEAN_SIGN,2014-08-01,9,-0.0042642536854535906,2.876839313994144e-05,-0.0042930220785935315
