month,currency,requested_hour_utc,observed_at_utc,source_url,raw_sha256,raw_bytes
2010-01-01,AUD,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.982000+00:00,https://jetta.dukascopy.com/v1/ticks/AUD-USD/2010/1/29/16,82f3be2388d583c6054e4309a6dde1af84aea0cfdc8f246d1d740e36938f0bf4,171583
2010-01-01,CAD,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.814000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-CAD/2010/1/29/16,5710ff5c730b5e755b7831af3f051e4de75acb45b306beca05d1989ced9446a1,150298
2010-01-01,CHF,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.874000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-CHF/2010/1/29/16,7ea3cc09341f6eefafef744314c6d0b1498c34b77fb94e2204af56b88f869199,171735
2010-01-01,EUR,2010-01-29T16:00:00+00:00,2010-01-29T16:59:55.690000+00:00,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2010/1/29/16,c2b86a05baa42802d1382e200ca0ab40c967e33c1ceec03fedb509c151e52ae4,43346
2010-01-01,GBP,2010-01-29T16:00:00+00:00,2010-01-29T16:59:58.604000+00:00,https://jetta.dukascopy.com/v1/ticks/GBP-USD/2010/1/29/16,e4999d51669760d0e3b188f601bed51cf75ecbf94a55c02cc71c01096458cb5e,181915
2010-01-01,JPY,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.014000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-JPY/2010/1/29/16,7c539c6ec0550f29722a36765a9b781dcfd4c0a89db866ce184e1126cf9bd400,160564
2010-01-01,NOK,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.814000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-NOK/2010/1/29/16,6220af3cac9d93313a7f92a178ed0f1518aaaf4eeeb611afd151e821799a85a7,106794
2010-01-01,NZD,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.644000+00:00,https://jetta.dukascopy.com/v1/ticks/NZD-USD/2010/1/29/16,2fb1be29d6872527e98ccb5231ad65995403796be152f63fb9d403a3efef4075,143212
2010-01-01,SEK,2010-01-29T16:00:00+00:00,2010-01-29T16:59:59.874000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-SEK/2010/1/29/16,4feebf71d161fa63df5c02a326c83f73a2b735a07db004622108200eeed8b6bc,115757
2010-02-01,AUD,2010-02-26T16:00:00+00:00,2010-02-26T16:59:58.068000+00:00,https://jetta.dukascopy.com/v1/ticks/AUD-USD/2010/2/26/16,e364fa47e9c2d139162376479d821d2aec9c511e11c2ca406366b26d0385e07e,150339
2010-02-01,CAD,2010-02-26T16:00:00+00:00,2010-02-26T16:59:59.676000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-CAD/2010/2/26/16,cb9a2365d8de95e842238cb13395f93e05015d8a5e62dd27c262f9eec217bea1,124269
2010-02-01,CHF,2010-02-26T16:00:00+00:00,2010-02-26T16:59:59.656000+00:00,https://jetta.dukascopy.com/v1/ticks/USD-CHF/2010/2/26/16,b8ef639fec71530ff0dc9c6b10288adf846f76d548a808d46cdf0fef2d418774,118674
2010-02-01,EUR,2010-02-26T16:00:00+00:00,2010-02-26T16:59:56.279000+00:00,https://jetta.dukascopy.com/v1/ticks/EUR-USD/2010/2/26/16,d3eef946dff93f6a6214de474919f21afa511a1f6c3bd528b43430861a950cd0,43503
2010-02-01,GBP,2010-02-26T16:00:00+00:00,2010-02-26T16:59:59.695000+00:00,https://jetta.dukascopy.com/v1/ticks/GBP-USD/2010/2/26/16,6e80c192874014daed7e8c84e69cc7962bfe3514d0f9030f5035cc226114009c,133190
